user_id,age,categorie_age,date_naissance,sexe,zone,niveau_education,annees_experience,etat_matrimonial,nombre_enfants,possede_voiture,possede_logement,possede_terrain,categorie_socioprofessionnelle,secteur_activite,heures_travail_hebdo,couleur_preferee,revenu_annuel
USER_00000,73,Âgé,1952-11-04,Homme,Urbain,Sans niveau,35.0,Marié,4,0.0,1.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Vert,7051
USER_00004,20,Jeune,2005-12-04,Femme,Urbain,Sans niveau,1.0,Célibataire,0,0.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Public,44.0,Orange,10485
USER_00007,23,Jeune,2002-10-14,Femme,Rural,Secondaire,4.0,Célibataire,0,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé formel,47.0,Rouge,5082
USER_00009,23,Jeune,2002-02-07,Femme,Rural,Fondamental,5.0,Célibataire,0,1.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,50.0,Noir,10572
USER_00011,49,Adulte,1976-10-01,Femme,Rural,Sans niveau,8.0,Marié,4,0.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,33.0,Orange,3710
USER_00012,33,Adulte,1992-09-07,Homme,Rural,Fondamental,9.0,Marié,6,0.0,1.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,69.0,Vert,6900
USER_00013,55,Senior,1970-12-21,Femme,Urbain,Sans niveau,11.0,Marié,0,1.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,74.0,Orange,9648
USER_00015,38,Adulte,1987-07-08,Femme,Urbain,Sans niveau,17.0,Marié,3,0.0,1.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Sans emploi,0.0,Rouge,3890
USER_00017,28,Jeune,1997-05-26,Femme,Urbain,Fondamental,8.0,Célibataire,0,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,80.0,Rouge,9919
USER_00018,67,Âgé,1958-01-25,Homme,Urbain,Fondamental,21.0,Marié,0,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,45.0,Bleu,38074
USER_00020,23,Jeune,2002-07-11,Femme,Rural,Secondaire,3.0,Célibataire,0,1.0,1.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Public,29.0,Blanc,16697
USER_00022,32,Adulte,1993-04-25,Femme,Urbain,Secondaire,9.0,Marié,6,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,44.0,Orange,12519
USER_00023,28,Jeune,1997-06-04,Femme,Urbain,Secondaire,7.0,Célibataire,0,0.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,40.0,Orange,17215
USER_00026,62,Senior,1963-06-20,Homme,Urbain,Fondamental,42.0,Marié,0,0.0,0.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Noir,20036
USER_00028,21,Jeune,2004-01-24,Homme,Urbain,Sans niveau,1.0,Célibataire,0,1.0,0.0,0.0,Groupe 4: Exploitants agricoles/Pêcheurs,Privé informel,68.0,Blanc,11141
USER_00029,31,Adulte,1994-08-18,Homme,Urbain,Fondamental,13.0,Célibataire,0,1.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé formel,36.0,Blanc,18386
USER_00030,62,Senior,1963-02-13,Femme,Rural,Sans niveau,18.0,Marié,4,0.0,1.0,0.0,Groupe 3: Retraités/Rentiers/Inactifs,Sans emploi,0.0,Blanc,3000
USER_00033,71,Âgé,1954-11-20,Femme,Rural,Fondamental,7.0,Veuf,0,0.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,50.0,Jaune,18832
USER_00034,46,Adulte,1979-06-19,Homme,Rural,Fondamental,14.0,Marié,3,0.0,0.0,0.0,Groupe 2: Cadres moyens/Employés/Commerçants,Privé formel,42.0,Blanc,18029
USER_00035,29,Jeune,1996-04-23,Femme,Rural,Fondamental,11.0,Marié,0,0.0,1.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Privé formel,47.0,Jaune,5724
USER_00038,37,Adulte,1988-05-03,Homme,Rural,Sans niveau,11.0,Marié,1,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Sans emploi,0.0,Violet,3000
USER_00042,29,Jeune,1996-11-27,Homme,Urbain,Sans niveau,1.0,Marié,2,1.0,1.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,41.0,Blanc,7030
USER_00043,55,Senior,1970-06-06,Femme,Rural,Sans niveau,26.0,Veuf,3,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,51.0,Noir,5565
USER_00044,47,Adulte,1978-06-12,Femme,Urbain,Fondamental,18.0,Marié,3,0.0,0.0,0.0,Groupe 6: Manœuvres/Petits métiers/Chômeurs,Privé informel,38.0,Bleu,10910
USER_00046,35,Adulte,1990-05-23,Femme,Urbain,Fondamental,12.0,Marié,3,0.0,0.0,0.0,Groupe 5: Artisans/Ouvriers qualifiés,Sans emploi,0.0,Rouge,6549
